URN,CustomerName,Acronym,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10581123,HMP & YOI Kirklevington Grange,,Yarm,Cleveland,North Yorkshire,Cleveland,North Yorkshire,England,TS15 9PA,Central Government,Prisons,True
10581122,The Samara Trust,,"Upton Lane, Upton,","Chester,",Cheshire,"Chester,",Cheshire,England,CH2 1ED.,Wider Public Sector,Local Authority Maintained School (All Types),True
10581100,OPENVIEW SECURITY SOLUTIONS LIMITED,,,,,,,,XXXX,Wider Public Sector,Private Sector Enabler,True
10581099,Empowering Action and Social Esteem (EASE) Ltd,,,,,,,,XXXX,Wider Public Sector,Charity,True
10581091,1207 Maldon Squadron Air Cadets,,"Drill Hall, Tenterfield Road",Maldon,,Maldon,,,CM9 5EW,Central Government,MoD - Reserve Forces & Cadets,True
10581086,Star Academies,,,,,,,,XXXX,Wider Public Sector,Academy (All Types),True
10581085,St Clememts Hill Primary Academy,,,,,,,,XXXX,Wider Public Sector,Academy (All Types),True
10581074,170 Engineer Group,,,,,,,,XXXX,Central Government,MoD - Army,True
10581060,NHS National Services Scotland,,,,,,,,XXXX,Wider Public Sector,TBA,True
10581053,"HQ Force Troop Command, MOD",,,,,,,,XXXX,Central Government,Other,True
10581051,LocatED,,,,,,,,XXXX,Wider Public Sector,,True
10581043,Fort House Surgery,,32 Hersham Road ,Walton Surrey,Surrey,Walton Surrey,Surrey,England,KT12 1UX,Wider Public Sector,GP Practice,True
10581038,Defence Primary Health Care CWX region,,,,,,,,XXXX,Central Government,Health,True
10581034,Ted Wragg Multi Academy Trust,,Ted Wragg Multi-Academy Trust Cranbrook Education Campus Tillhouse Road Cranbrook,Exeter,Devon,Exeter,Devon,England,EX5 7EE,Wider Public Sector,Academy (All Types),True
10581033,New Brighton Day Nursery CIC,,"New Brighton Children’s Centre, Mount Pleasant Road",Wallasey,Merseyside,Wallasey,Merseyside,England,CH45 5HU,Wider Public Sector,Other,True
10581004,Davenport Road Evangelical Church,,Davenport Road,Derby,Derbyshire,Derby,Derbyshire,England,DE24 8AX,Wider Public Sector,Other,True
10581003,Dumfries & Galloway Housing Partnership,,,,,,,,XXXX,Wider Public Sector,Housing Associations,True
10580992,Chichester Diocesan Association for Family Support Work,,"Garton House, 22 Stanford Avenue",Brighton,East Sussex,Brighton,East Sussex,England,BN1 6AA,Wider Public Sector,Charity,True
10580991,North and South Arden T.M.O Limited,,"16a Malcolm House, Arden Estate,",London,Greater London,London,Greater London,England,N1 6PN,Wider Public Sector,Housing Associations,True
10580987,Aspire Oxfordshire Community Enterprises Ltd,,Osney Lane,Oxford,Oxfordshire,Oxford,Oxfordshire,England,OX1 1NJ,Wider Public Sector,Charity,True
10580969,The Forest School Academy Trust,,"The Forest School, Robin Hood Lane, Winnersh,",Wokingham,,Wokingham,,,RG11 5NE,Wider Public Sector,Education,True
10580966,Hightown,,Hightown House Maylands Avenue Hemel Hempstead,Hertfordshire,,Hertfordshire,,,HP2 4XH,Wider Public Sector,Housing Associations,True
10580965,HMP Low Newton,,Brasside,Durham,,Durham,,,DH1 YA,Wider Public Sector,Other,True
