framework_number,lot_number,lot_description
BS1,1B5,"Subscriber Line, Voice (inc Centrex Services)"
BS1,1MC,BS Mini Competition
BS1,1B6,Indirect Voice (inc Centrex Services)
BS1,1C1,Short Haul Interconnections
BS1,1C2,Back Haul & Internet Connections
CBS0002,3,DECC
CBS0002,1,Bureau Service
CBS0002,2,Energy Consultancy
CIPHER,1,DWP CIPHER Managed Service Provision
CM/AMN/07/4820,1,Medical Locums
CM/ANS/08/4961,1,National Agency Nursing Framework Agreement
CM/AST/08/4966,1,Temporary staff Allied health professionals and associated staff health sci
CM/FMA/05/4206,1,Water coolers and dispensers
CM/FMM/04/2500,1,Supply and installation of Signage
CM/FMM/07/4789,1,Estates Multi FA
CM/FMM/08/5012,5,"Water Systems,Servicing Legionella Testing, Thermostatic mixing valves, Wat"
CM/FMM/08/5012,13,Fully Managed Building and Engineering Maintenance Services.
CM/FMM/08/5012,6.4,Portable fire appliances
CM/FMM/08/5012,6.5,Sprinkler systems
CM/FMM/08/5012,6.1,Fire alarm systems
CM/FMM/08/5012,6.2,Fixed fire fighting equipment
CM/FMM/08/5012,6.3,Suppression fire extinguisher systems
CM/FMM/08/5012,3,"Lifts, Escalators and Conveyance Systems"
CM/FMM/08/5012,7,Boilers and associated plant.
CM/FMM/08/5012,8,Building Management Systems & Automatic Control Systems.
CM/FMM/08/5012,1,"Cooling and Refrigeration Chillers, Condensers, Split A/C's"
CM/FMM/08/5012,2,"Air Handling Units, Filters, Ventilation & Extraction."
CM/FMM/08/5012,9,Security Access Control Intruder and CCTV Systems
CM/FMM/08/5012,10,UPS and Generators
CM/FMM/08/5012,12,Automatic Doors
CM/FMM/08/5012,11.1,Portable Appliance Testing (PAT)
CM/FMM/08/5012,11.2,Fixed Installation Testing
CM/FMM/08/5028,1,Signage Solutions Framework for NHS and Pan-Government
CM/FMT/05/4368,1,Accident and Emergency Ambulances
CM/FMT/07/4898,1,Vehicle Insurance
CM/FMT/08/4984,1,Vehicle Conversion
CM/FMT/08/5046,1,Trailers and Mobile Units
CM/OSG/05/3565,1,Laundry Services - Wave 2
CMAAC095124,1a,Employment Agency
CMAAC095124,1b,Employment Business
DFFS/5012,1,Aviation and Marine
DFG/0001,1,Marine and Aviation Fuel
DFG2a1665,1,Lubricants
FATS-3,1,Financial And Technical Services (3)
FCMT0029,1,Furniture repair and renovation
Framework 98,3,Installation of Commercial Catering Equipment
Framework 98,4.01,Hire of Commercial Kitchen Pods (Portable Kitchens and Catering Facilities)
Framework 98,5.01,Service and Maintenance of Domestic Kitchen Equipment
Framework 98,2.02,Supply of Commercial Catering Equipment - Beverage Equipment
Framework 98,2.08,Supply of Commercial Catering Equipment - Refrigeration
Framework 98,2.09,Supply of Commercial Catering Equipment - Shelving and Storage
Framework 98,2.1,Supply of Commercial Catering Equipment - General Fabrication
Framework 98,2.11,Supply of Commercial Catering Equipment - Commercial Kitchen Extractions
Framework 98,1,Design and Layout of Kitchen Refurbishments and New Build Projects
Framework 98,2.01,Supply of Commercial Catering Equipment - Prime Cooking Equipment
Framework 98,2.03,Supply of Commercial Catering Equipment - Warewashing
Framework 98,2.04,Supply of Commercial Catering Equipment - Beverage Equipment
Framework 98,2.05,Supply of Commercial Catering Equipment - Potato Ovens
Framework 98,2.06,Supply of Commercial Catering Equipment - Heated and Ambient Display
Framework 98,2.07,Supply of Commercial Catering Equipment - Insect Control
Framework 98,2.12,Supply of Commercial Catering Equipment - Cash Registers
Framework 98,4.02,Hire of Commercial Catering Equipment
Framework 98,5.02,Service and Maintenance of Commercial Catering Equipment
GCAT,2,Telecommunication
GCAT,5,IT Managed Services
GCAT,3,Software
GCAT,1,Hardware
GCAT,4,Maintenance
GCAT,7,Solution Provision
GCAT,6,Value Added Reseller
GTC01,1AM,Packaged solution Application/Managed
GTC01,1AMT,Packaged Solution Applicatio/Managed/Telecom
GTC01,1MT,Packaged solution Managed/Telecom
GTC01,1T,Telecommunications
GTC01,1M,Managed
GTC01,1AT,Packaged solution Application/Telecom
GTC01,1M1,Managed special CJIT/CW
GTC01,1MGTN,Managed CW GTN
GTC01,1A,Applications
GTC99,1C13,EDI & Other Messaging Cat
GTC99,1C14,News and Information Cat
GTC99,1C15,Video Conferencing Cat
GTC99,1C2,Fixed PSTN Cat
GTC99,1C7,Mobile Communications Cat
GTC99,1C8,Network Management Cat
GTC99,1C9,Bureau Services Cat
GTC99,1CP1,Packaged Solutions Cat voice
GTC99,1C4,Managed Voice Cat
GTC99,1C5,Maintenance of Telcoms Equipment Cat
GTC99,1CP2,Packaged solutions Cat non voice
GTC99,1C1,Wide Area Network Cat
GTC99,1C10,Internet & Web Management Cat
GTC99,1C11,Directory Information Cat
GTC99,1C12,"E-Commerce Security, TTP Cat"
GTC99,1C3,Local Area Network Cat
GTC99,1C6,Site Cabling Cat
HMRC01,1,Print
HMRC02,1,Print
ISS/IA/480085P2P,1,MOD IA
ISS/IA/480086P2P,1,MOD IA
ISS/IA/480087P2P,1,MOD IA
LCDOPS1430,1,"Stationery, Paper, Computer Consumables and Listing Paper"
MoU,7,Default
MoU01,1,Adobe MoU
MoU03,2,Citrix MoU
MoU04,3,Microsoft MoU
MoU04,4,Microsoft PSA09 MoU
MoU05,9,Microsoft Schools MOU
MoU06,5,Oracle MoU
MoU07,6,SAP MoU
MoU08,1,Northgate MoU spend under management
NPU 08 10 9 1,3,Hotels
NPU 08 10 9 1,4,Conference Facilities
PCS,5,Building Regulation Compliance (A206879)
PCS,9a,Architectural Services Historical Buildings (A206743)
PCS,2,Construction and Property Professional Services (A207547)
PCS,3a,Space Planning (A207108)
PCS,3c,Space Planning (A206990)
PCS,1a,Project Management (A206101)
PCS,4,Property Management (A206782)
PCS,7,Estates Professional Services (A207546)
PCS,8a,Rating Support (A207573)
PCS,3b,Space Planning (A206989)
PCS,14,Technical Assurance (A206742)
PCS,8b,Rating Support (A206755)
PCS,6,Capital Charging Valuation Services (A206738)
PCS,10,"Environmental Advice, Support & Delivery (A917812)"
PCS,11,Enviromental Surveying & Monitoring Advice (A20672
PCS,1b,Project Management (A206902)
PCS,1e,Project Management (A206902A for Cabinet Office  Turner & Townsend only)
PCS,1d,Project Management (A206902B for Forensic Science Service NI)
PCS,12,Quantity Surveying & Contract Advice (A206730)
PCS,1c,Project Management (A206902C For DWP  Drivers Jonas only)
PCS,15a,Planned Preventative Maintenance (A206909)
PCS,15b,Planned Preventative Maintenance (A206905)
PCS,13,Property Advice & Body Shop Services (A206781)
PCS,9b,Architectural Services Historical Buildings (A206743B only)
PCS,16,Measured Term Contracts  Building (A206773)
PCS,17,Measured Term Contracts  M&E (A206777)
PCS,3d,Space Planning (A723617)
PPRO,9,Duplication
PPRO,2,Digital Printing
PPRO,3,Litho B2
PPRO,7,Forms and Continuous Stationary
PPRO,4,Litho B1
PPRO,5,Posters
PPRO,6,Binders and Wallets
PPRO,8,Label and Tape Printing
PPRO,11,Print Management
PPRO,1,Web Offset Litho
PROCSCOT01,1,Procurement Scotland Half Hourly
PROCSCOT01,2,Procurement Scotland Non Half Hourly
PS 09 93,1,Merchant Acquirer
RM1002,1,Agile Route to Market
RM1006,2,Next Day
RM1006,6,Mail Screening
RM1006,7h,Same Day Regional (North West)
RM1006,2(H),Next Day (HMRC)
RM1006,3,International
RM1006,4a,Dangerous/Hazardous Goods (Explosives)
RM1006,1,Same Day National
RM1006,7d,Same Day Regional (Inner London)
RM1006,4b,Dangerous/Hazardous Goods (Gases)
RM1006,4c,Dangerous/Hazardous Goods (Flammable Liquids)
RM1006,4h,Dangerous/Hazardous Goods (Corrosive Substances)
RM1006,4i,Dangerous/Hazardous Goods (Miscellaneous)
RM1006,4d,Dangerous/Hazardous Goods (Flammable Solids)
RM1006,4e,Dangerous/Hazardous Goods (Oxidizing Agents and Organic Peroxides)
RM1006,4f,Dangerous/Hazardous Goods (Toxic and Infectious Substances)
RM1006,4g,Dangerous/Hazardous Goods (Radioactive Substances)
RM1006,1(H),Same Day National (HMRC)
RM1006,5a,Secure Services (Valuable Goods)
RM1006,7e,Same Day Regional (Outer London)
RM1006,5b,Secure Services (Restricted Goods)
RM1006,5c,Secure Services (Seized Goods)
RM1006,5d,Secure Services (Documents)
RM1006,6(H),Mail Screening (HMRC)
RM1006,7i,Same Day Regional (Yorkshire and the Humber)
RM1006,7i (H),Same Day Regional (Yorkshire and the Humber) (HMRC)
RM1006,5e,Secure Services (Cash)
RM1006,5e (H),Secure Services (Cash) (HMRC)
RM1006,7g,Same Day Regional (North East)
RM1006,7g (H),Same Day Regional (North East) (HMRC)
RM1006,7c,Same Day Regional (East of England)
RM1006,7c (H),Same Day Regional (East of England) (HMRC)
RM1006,7f,Same Day Regional (West Midlands)
RM1006,7f (H),Same Day Regional (West Midlands) (HMRC)
RM1006,7b,Same Day Regional (South East)
RM1006,7b (H),Same Day Regional (South East) (HMRC)
RM1006,7a,Same Day Regional (South West)
RM1006,7a (H),Same Day Regional (South West) (HMRC)
RM1006,3(H),International (HMRC)
RM1006,7j,Same Day Regional (Scotland)
RM1006,7j (H),Same Day Regional (Scotland) (HMRC)
RM1006,0,Nil Return (HMRC)
RM1006,7d (H),Same Day Regional (Inner London) (HMRC)
RM1006,4a (H),Dangerous/Hazardous Goods (Explosives) (HMRC)
RM1008,1,Seasonal Courier Services
RM1011,1,Marketing and Communications Strategy Development
RM1011,2,Communications Channel Strategy and Planning
RM1013,114,Heating Oil Northern Ireland
RM1013,214,Automotive Fuel Northern Ireland
RM1013,101,Heating Oil Scotland North
RM1013,102,Heating Oil Scotland West
RM1013,103,Heating Oil Scotland Central
RM1013,104,Heating Oil Scotland South
RM1013,204,Automotive Fuel Scotland South
RM1013,301,Marine Oil UK excluding Northern Ireland
RM1013,201,Automotive Fuel Scotland North
RM1013,202,Automotive Fuel Scotland West (Duplicate - Removed)
RM1013,203,Automotive Fuel Scotland Central
RM1013,401,One Stop Shop UK excluding Northern Ireland
RM1013,202,Automotive Fuel Scotland West
RM1013,302,Marine Oil Northern Ireland
RM1013,402,One Stop Shop Northern Ireland
RM1013,209,Automotive Fuel England London and South East
RM1013,210,Automotive Fuel England South
RM1013,109,Heating Oil England London and South East
RM1013,110,Heating Oil England South
RM1013,111,Heating Oil England South West
RM1013,112,Heating Oil South Wales
RM1013,113,Heating Oil North Wales
RM1013,205,Automotive Fuel England North West
RM1013,206,Automotive Fuel England North East
RM1013,207,Automotive Fuel England Midlands
RM1013,212,Automotive Fuel South Wales
RM1013,213,Automotive Fuel North Wales
RM1013,105,Heating Oil England North West
RM1013,106,Heating Oil England North East
RM1013,107,Heating Oil England Midlands
RM1013,108,Heating Oil England East Anglia
RM1013,208,Automotive Fuel England East Anglia
RM1013,211,Automotive Fuel England South West
RM1014,1,Telecoms Expense Management
RM1016,1,Data Access Processing and Analytics Services
RM1018,4,Creative Industries ?Screen Sector Specialists
RM1018,5,Creative Industries ? Design & Furniture Sector
RM1018,6,Creative Industries ? Music Sector Specialists
RM1018,7,Creative Industries ? Publishing Specialists
RM1018,12,Advanced Engineering Sector Specialists
RM1018,13,Financial & Professional Services Sector Specialists
RM1018,1,Stand Design & Construction
RM1018,2,Event Management
RM1018,3,ICT Sector Specialists
RM1018,8,Life Sciences ? Biotechnology Sector Specialists
RM1018,9,Life Sciences ? Pharmaceuticals Sector Specialists
RM1018,10,Life Sciences ? Healthcare & medical Sector Specialists
RM1018,11,Energy Sector Specialists
RM1020,1,Creative Media Services
RM1022,1,Full Service
RM1022,2,Design for Print
RM1022,3,Digital Design
RM1027,1,Fuel Card and Associated Services
RM1028,1,Strategic and Business Change
RM1028,2,Strategic Finance
RM1028,4,Human Resources
RM1028,3,Operational Finance
RM1030,1,T-TEAR
RM1030,2,Roads
RM1030,3,Rail
RM1031,1,"Processing (collection, wash, finish and return) of linen items/linen hire items"
RM1032,1,Oracle E Business Suite Enterprise Application Support
RM1032,2,SAP Enterprise Application Support Services
RM1032,4m,Other Non-Specified Enterprise Application Support Services
RM1032,3c,Other Specified Enterprise Application Support Services
RM1032,4c,Other Non-Specified Enterprise Application Support Services
RM1032,3h,Other Specified Enterprise Application Support Services
RM1032,4h,Other Non-Specified Enterprise Application Support Services
RM1032,3a,Other Specified Enterprise Application Support Services
RM1032,4a,Other Non-Specified Enterprise Application Support Services
RM1032,4f,Other Non-Specified Enterprise Application Support Services
RM1032,3f,Other Specified Enterprise Application Support Services
RM1032,3b,Other Specified Enterprise Application Support Services
RM1032,4b,Other Non-Specified Enterprise Application Support Services
RM1032,4l,Other Non-Specified Enterprise Application Support Services
RM1032,3j,Other Specified Enterprise Application Support Services
RM1032,3g,Other Specified Enterprise Application Support Services
RM1032,4g,Other Non-Specified Enterprise Application Support Services
RM1032,4k,Other Non-Specified Enterprise Application Support Services
RM1032,4i,Other Non-Specified Enterprise Application Support Services
RM1032,3i,Other Specified Enterprise Application Support Services
RM1032,4j,Other Non-Specified Enterprise Application Support Services
RM1032,3d,Other Specified Enterprise Application Support Services
RM1032,4d,Other Non-Specified Enterprise Application Support Services
RM1032,3e,Other Specified Enterprise Application Support Services
RM1032,4e,Other Non-Specified Enterprise Application Support Services
RM1032,3k,Other Specified Enterprise Application Support Services
RM1033,1,Individuals Quantative Categories
RM1033,2,Business Quantative Categories
RM1033,3,Qualitative Categories
RM1033,4,Desk Research
RM1033,5,Innovations
RM1034,3,One Stop Shop Travel Management Services
RM1034,1,Online Rail and Hotel
RM1034,2,"Online and Offline Rail, Hotel and Air"
RM1035,1,Traditional Telephony Services
RM1035,2,Inbound Services
RM1037,1,Spend Analysis & Recovery Services
RM1040,1,Residual Central Government MFD Spend
RM1042,1,Enterprise Resource Planning Software Solutions
RM1042,2,Finance IT Software Solutions
RM1042,3,Human Resources (HR) and Payroll Software Solutions
RM1042,7,Mobile Application Solutions
RM1042,4,Customer Relationship Management (CRM) Solutions
RM1042,5,Enterprise Content Management (ECM) Software Solutions
RM1042,6,Data Management and Reporting Systems (DMRS) Software Solutions
RM1043,1,Digital Services
RM1043.5,1,Digital Outcomes
RM1043.5,2,Digital Specialists
RM1043.5,3,User Research Studios
RM1043.5,4,User Research Participants
RM1043ii,1,Digital Services 2
RM1043iii,1,Digital Outcomes
RM1043iii,2,Digital Specialists
RM1043iii,3,User Research Studios
RM1043iii,4,User Research Participants
RM1043iv,1,Digital Outcomes
RM1043iv,2,Digital Specialists
RM1043iv,4,User Research Participants
RM1043iv,3,User Research Studios
RM1045,5,IP telephony services
RM1045,6,Mobile voice and data services
RM1045,8,Video-conferencing services
RM1045,9,Audio-conferencing services
RM1045,7,Paging services
RM1045,1,Data access services
RM1045,2,Local connectivity services
RM1045,3,Traditional telephony services
RM1045,4,Inbound telephony services
RM1045,10,Integrated communications
RM1045,11,Agency Services
RM1047,1,e-Channel
RM1047,2,Telephony Channel
RM1047,3,Face to Face
RM1049,1,"Event Planning, Management and Delivery Services"
RM1049,2,"Audio Visual (AV) Equipment, Services, Design and Integration"
RM1050,1,ICT Services for Education
RM1051,1,Media Buying
RM1051,2,Media Buying - International
RM1054,1,Technology Hardware
RM1054,4,End User Devices
RM1054,3,Secure Technology Products and Disposals
RM1054,2,Packaged Software
RM1056,1,Total Facilities Management
RM1056,2,Hard Facilities Management
RM1056,3,Soft Facilities Management
RM1058,5,"Infrastructure and Platform, Maintenance and Support"
RM1058,6,Audit Services & Asset Management
RM1058,7,IT Infrastructure Transition Services & Delivery
RM1058,8,Service Integration/Service Integrator
RM1058,1,Help Desk/Service Desk
RM1058,2,Desktop Support
RM1058,4,Network and Content Security
RM1058,9,Disaster Recovery/Business Continuity
RM1058,10,Backup and Data Services
RM1058,3,Network Management
RM1058,11,Asset Disposal
RM1059,11,Other Local Authority business systems
RM1059,1,Revenues and Benefits systems
RM1059,2,Payment Processing and Cash Receipting systems
RM1059,3,"Environmental, Planning, Building Control, Trading Standards and Licencing syste"
RM1059,4,Libraries systems
RM1059,9,"Open Government Systems, Interoperability and Integration Services"
RM1059,10,Democratic and Citizen Engagement systems
RM1059,5,Housing and Property systems
RM1059,6,Social Care systems
RM1059,8,Civil Enforcement systems
RM1059,7,Public Health systems
RM1062,5,UK Car Share
RM1062,6,International Vehicle Hire
RM1062,1,"UK Passenger Car Hire, Light Commercial Vehicle (LCV) Hire, General on road 4x4'"
RM1062,2,UK 4x4 Wheel Vehicle Hire (with full off-road capability)
RM1062,3,UK Minibus Hire
RM1062,4,Heavy Goods Vehicles (HGV's) and Heavy Commercial Vehicles (HCV's) over 3.5 tonn
RM1063,7,Off-Site Digital Inbound Mail Solution
RM1063,1,Collection and Delivery
RM1063,2,Hybrid Mail On-Site Solution
RM1063,3,Hybrid Mail Off-Site Solution
RM1063,4,International Mail Services
RM1063,6,On-Site Inbound Mail Solution
RM1063,5,Franking Machines and Mailroom Equipment
RM1069,1,Data Centre Co-location Services
RM1070,1,Cars including 4x4 Variants
RM1070,2,Light to Medium Commercial Vehicles up to but not including 7.5 tonnes (includin
RM1070,7,Blue Light Cars including 4x4 Variants
RM1070,8,"Blue Light, Light to Medium Commercial Vehicles"
RM1070,5,Buses and Coaches
RM1070,3,Medium to Heavy Commercial Vehicles 7.5 tonnes and above
RM1070,9,Blue Light Motorcycles (including Quad Bikes and Scooters)
RM1070,4,Motorcycles (including Quad Bikes and Scooters)
RM1070,6,Vehicles for Overseas
RM1072,1,Workforce Management
RM1075,1,Provision of Electricity Supply and Ancillary Services
RM1075,2,Wider Public Sector
RM1076,1,Supply of Natural Gas (Daily / Non Daily Metered) and Ancillary Services
RM1076,1a,Supply of Natural Gas (Daily / Non Daily Metered) and Ancillary Services
RM1078,1,Printing and Specialist Paper
RM1085,1,Small Volume Email Implementation (0-9999 Mailboxes)
RM1085,2,Medium Volume Email Implementation (between 10000 and 99999 Mailboxes)
RM1085,3,Large Volume Email Implementation (100000+ Mailboxes)
RM1086,6,Research Support Services
RM1086,2,Strategic Planning and Development
RM1086,3,Develop and Test Concepts for Communication Products and Services
RM1086,4,Performance/Reputation Audit and Customer/Stakeholder Satisfaction
RM1086,5,Communications Evaluation Research
RM1086,7,Panels
RM1086,8.1,Specialist Audiences ? Young People
RM1086,8.2,Specialist Audiences - Language and Culture
RM1086,1,Secondary Research
RM1086,8.3,Specialist Audiences - Hidden Populations
RM1089,15,Catalogue for Lots 1-14
RM1089,12,Traffic Management Professional Services
RM1089,9,Street and Exterior Lighting
RM1089,10,Sustainable Transport Infrastructure
RM1089,11,Traffic Management Communications
RM1089,1,"Traffic Signal Junctions, Controlled Pedestrian Crossings and Ramp Metering"
RM1089,2,Traffic Monitoring and Traffic Enforcement Cameras
RM1089,3,Geographic Information Systems (GIS) Data Systems
RM1089,4,Variable Message Signs
RM1089,7,Urban Traffic Management Control and Common Database Systems
RM1089,8,Asset Data Capture and Management
RM1089,13,Ancillary Roadside Equipment
RM1089,15.03,Catalogue - Geographic Information Systems (GIS) Data Systems
RM1089,15.04,Catalogue - Variable Message Signs
RM1089,15.07,Catalogue - Urban Traffic Management Control and Common Database Systems
RM1089,15.09,Catalogue - Street and Exterior Lighting
RM1089,15.10,Catalogue - Sustainable Transport Infrastructure
RM1089,15.11,Catalogue - Traffic Management Communications
RM1089,15.14,Catalogue - Intelligent Transport Systems
RM1089,14,Intelligent Transport Systems (ITS)
RM1089,15.01,"Catalogue - Traffic Signal Junctions, Controlled Pedestrian Crossings and Ramp M"
RM1089,15.02,Catalogue - Traffic Monitoring and Traffic Enforcement Cameras
RM1089,15.05,Catalogue - Parking and Access Control Systems
RM1089,15.06,Catalogue - Environmental Monitoring Systems
RM1089,15.08,Catalogue - Asset Data Capture and Management
RM1089,15.12,Catalogue - Traffic Management Professional Services
RM1089,15.13,Catalogue - Ancillary Roadside Equipment
RM1089,6,Environmental Monitoring Systems (Fixed and Mobile)
RM1089,5,Parking and Access Control Systems
RM1092,2,"Written Translation, Transcription and Ancillary Services"
RM1092,4d,Non Spoken Face to Face and Video Language Services North England
RM1092,4e,Non Spoken Face to Face and Video Language Services Scotland and Northern Irelan
RM1092,5a,Spoken Face to Face Interpreting Services Greater London
RM1092,5b,Spoken Face to Face Interpreting Services South West England
RM1092,5c,Spoken Face to Face Interpreting Services South Central England
RM1092,5f,Spoken Face to Face Interpreting Services East Midlands
RM1092,5g,Spoken Face to Face Interpreting Services West Midlands
RM1092,5h,Spoken Face to Face Interpreting Services Yorkshire and Humberside
RM1092,5l,Spoken Face to Face Interpreting Services Wales
RM1092,5m,Spoken Face to Face Interpreting Services Northern Ireland
RM1092,1,Managed Service Provision of Language Services
RM1092,4a,Non Spoken Face to Face and Video Language Services Greater London and Overseas
RM1092,4b,Non Spoken Face to Face and Video Language Services Southern England
RM1092,4c,Non Spoken Face to Face and Video Language Services Midlands and East England
RM1092,5d,Spoken Face to Face Interpreting Services South East England
RM1092,5e,Spoken Face to Face Interpreting Services East of England
RM1092,5i,Spoken Face to Face Interpreting Services North West England
RM1092,5j,Spoken Face to Face Interpreting Services North East England
RM1092,5k,Spoken Face to Face Interpreting Services Scotland
RM1092,5n,Spoken Face to Face Interpreting Services UK and Overseas
RM1092,3,Telephone Interpreting and Video Language Services
RM1095,1,Wider Public Sector
RM1095,2,Central Government
RM1498,3,Conferencing Services
RM1498,4,Managed Equipment Room Services
RM1498,5,Contact Centre Services
RM1498,7,Paging Services
RM1498,2,CCTV & Physical Security Monitoring Services
RM1498,9,Gateway Services
RM1498,10,Unified Services
RM1498,1,Communications Services
RM1498,8,LAN Services
RM1498,6,Mobile Voice & Data Services
RM1500,2,Learning Services
RM1500,1,Information Management
RM1501,1,Office Furniture
RM1501,2,Residential Furniture
RM1501,4,Repair and Renovation of Furniture
RM1501,3,High Density Steel Storage Furniture
RM1502,1,Multi Specialism Programme Delivery
RM1502,2.1,Policy Development and Advice
RM1502,3.2,Human Resource Management
RM1502,4.4,Economic Analysis
RM1502,3.3,Procurement
RM1502,3.4,Information & Communications Technology
RM1502,4.3,Finance Operations Support
RM1502,3.1,Change Management (PPM)
RM1502,4.1,Corporate Finance and Financial Strategy
RM1502,5.4,External Audit and Advice
RM1502,2.2,Organisational Strategy
RM1502,5.1,Internal Audit and Advice
RM1502,5.2,Other Assurance and Advice
RM1502,5.3,Financial Audit and Investigation
RM1502,4.2,Investment and Banking Services
RM1555,1,Provison of Booking Services for Meeting and Events across Central Governme
RM1557,1,IaaS - Cloud Infrastructure as a Service
RM1557,3,SaaS - Cloud Software as a Service
RM1557,4,Specialist Cloud Services
RM1557,2,PaaS - Cloud Platform as a Service
RM1557.10,3,Cloud Support
RM1557.10,1,Cloud Hosting
RM1557.10,2,Cloud Software
RM1557ii,4,Specialist Cloud Services
RM1557ii,1,Infrastructure as a Service (IaaS)
RM1557ii,3,Software as a Service (SaaS)
RM1557ii,2,Platform as a Service (PaaS)
RM1557iii,3,Software as a Service (SaaS)
RM1557iii,4,Specialist Cloud Services
RM1557iii,1,Infrastructure as a Service (IaaS)
RM1557iii,2,Platform as a Service (PaaS)
RM1557iv,1,Infrastructure as a Service (IaaS)
RM1557iv,3,Software as a Service (SaaS)
RM1557iv,4,Specialist Cloud Services
RM1557iv,2,Platform as a Service (PaaS)
RM1557ix,2,Cloud Software
RM1557ix,3,Cloud Support
RM1557ix,1,Cloud Hosting
RM1557v,4,Specialist Cloud Services
RM1557v,1,Infrastructure as a Service (IaaS)
RM1557v,3,Software as a Service
RM1557v,2,Platform as a Service (PaaS)
RM1557vi,3,Software as a Service
RM1557vi,4,Specialist Cloud Services
RM1557vi,1,Infrastructure as a Service (IaaS)
RM1557vi,2,Platform as a Service (PaaS)
RM1557vii,1,Infrastructure as a Service (IaaS)
RM1557vii,3,Software as a Service
RM1557vii,4,Specialist Cloud Services
RM1557vii,2,Platform as a Service (PaaS)
RM1557viii,3,Software as a Service
RM1557viii,1,Infrastructure as a Service (IaaS)
RM1557viii,4,Specialist Cloud Services
RM1557viii,2,Platform as a Service (PaaS)
RM1559,1,Financial Analysis Services
RM1568,1,Civil Service Learning
RM1570,2,Resource pool management: managed service provision for the supply of locum
RM1570,3,Resource pool management: managed service provision for the introduction of
RM1570,1,Managed service provision for either the: a) supply of or b) introduction o
RM1599,3,Managed Print Services
RM1599,2,Full Catalogue offering of Multifunctional Devices and Services (inc. Print
RM1599,4,Print Audit Services
RM1599,1,Limited Range of Standard Specification Devices and Services
